Name,School,Gender,Role,Total Citations,Earliest Pub,Cit rank,YO rank,AvCit,AvAge,PR value,age,citperyear
Robert Sacker,USC,Male,Professor,1229,1964,0.74,0.978,0.496935484,0.559548387,0.888101003,57,21.56140351
Fengzhu Sun,USC,Male,Professor,23,1991,0.032,0.414,0.496935484,0.559548387,0.888101003,30,0.766666667
Shanghua Teng,USC,Male,Professor,1211,1990,0.736,0.436,0.496935484,0.559548387,0.888101003,31,39.06451613
Chunming Wang,USC,Male,Professor,108,1988,0.106,0.5,0.496935484,0.559548387,0.888101003,33,3.272727273
Michael Waterman,USC,Male,Professor,607,1969,0.512,0.939,0.496935484,0.559548387,0.888101003,52,11.67307692
Jianfeng Zhang,USC,Male,Professor,1100,2001,0.709,0.124,0.496935484,0.559548387,0.888101003,20,55
Mohammed Ziane,USC,Male,Professor,1291,1995,0.754,0.304,0.496935484,0.559548387,0.888101003,26,49.65384615
Irene Gamba,UT Austin,Female,Professor,1277,1986,0.751,0.564,0.566736842,0.470289474,1.205080857,35,36.48571429
Thaleia Zariphopoulou,UT Austin,Female,Professor,770,1989,0.6,0.469,0.566736842,0.470289474,1.205080857,32,24.0625
Natasa Pavlovic,UT Austin,Female,Professor,790,2002,0.611,0.103,0.566736842,0.470289474,1.205080857,19,41.57894737
Gordan Zitkovic,UT Austin,Male,Professor,248,2002,0.25,0.103,0.566736842,0.470289474,1.205080857,19,13.05263158
Daniel Allcock,UT Austin,Male,Professor,407,1996,0.388,0.278,0.566736842,0.470289474,1.205080857,25,16.28
Todd Arbogast,UT Austin,Male,Professor,1733,1987,0.828,0.53,0.566736842,0.470289474,1.205080857,34,50.97058824
Francois Baccelli,UT Austin,Male,Professor,919,1981,0.651,0.714,0.566736842,0.470289474,1.205080857,40,22.975
William Beckner,UT Austin,Male,Professor,1100,1975,0.709,0.846,0.566736842,0.470289474,1.205080857,46,23.91304348
David Ben-Zvi,UT Austin,Male,Professor,548,1999,0.479,0.172,0.566736842,0.470289474,1.205080857,22,24.90909091
Andrew Blumberg,UT Austin,Male,Professor,365,1999,0.354,0.172,0.566736842,0.470289474,1.205080857,22,16.59090909
Lewis P Bowen,UT Austin,Male,Professor,467,2000,0.424,0.147,0.566736842,0.470289474,1.205080857,21,22.23809524
Luis A Caffarelli,UT Austin,Male,Professor,14441,1973,0.998,0.885,0.566736842,0.470289474,1.205080857,48,300.8541667
Thomas Chen,UT Austin,Male,Professor,571,1996,0.489,0.278,0.566736842,0.470289474,1.205080857,25,22.84
Bjorn Engquist,UT Austin,Male,Professor,4346,1970,0.959,0.927,0.566736842,0.470289474,1.205080857,51,85.21568627
Daniel Freed,UT Austin,Male,Professor,1642,1982,0.818,0.684,0.566736842,0.470289474,1.205080857,39,42.1025641
John Gilbert,UT Austin,Male,Professor,777,1975,0.604,0.846,0.566736842,0.470289474,1.205080857,46,16.89130435
Robert Gompf,UT Austin,Male,Professor,1620,1983,0.813,0.652,0.566736842,0.470289474,1.205080857,38,42.63157895
Oscar Gonzalez,UT Austin,Male,Professor,531,1994,0.469,0.334,0.566736842,0.470289474,1.205080857,27,19.66666667
Cameron Gordon,UT Austin,Male,Professor,2573,1970,0.899,0.927,0.566736842,0.470289474,1.205080857,51,50.45098039
Raymond Heitmann,UT Austin,Male,Professor,289,1974,0.29,0.869,0.566736842,0.470289474,1.205080857,47,6.14893617
Phillip Isett,UT Austin,Male,Professor,167,2013,0.155,0.002,0.566736842,0.470289474,1.205080857,8,20.875
Sean Keel,UT Austin,Male,Professor,1071,1989,0.702,0.469,0.566736842,0.470289474,1.205080857,32,33.46875
Hans Koch,UT Austin,Male,Professor,464,1979,0.421,0.76,0.566736842,0.470289474,1.205080857,42,11.04761905
John Luecke,UT Austin,Male,Professor,1021,1985,0.684,0.593,0.566736842,0.470289474,1.205080857,36,28.36111111
Francesco Maggi,UT Austin,Male,Professor,1101,2003,0.71,0.082,0.566736842,0.470289474,1.205080857,18,61.16666667
Per-Gunnar Martinsson,UT Austin,Male,Professor,1221,2001,0.737,0.124,0.566736842,0.470289474,1.205080857,20,61.05
Peter Mueller,UT Austin,Male,Professor,570,1991,0.489,0.414,0.566736842,0.470289474,1.205080857,30,19
Sam Payne,UT Austin,Male,Professor,680,1999,0.562,0.172,0.566736842,0.470289474,1.205080857,22,30.90909091
Charles Radin,UT Austin,Male,Professor,725,1970,0.58,0.927,0.566736842,0.470289474,1.205080857,51,14.21568627
Kui Ren,UT Austin,Male,Professor,365,2002,0.354,0.103,0.566736842,0.470289474,1.205080857,19,19.21052632
Lorenzo Sadun,UT Austin,Male,Professor,633,1987,0.53,0.53,0.566736842,0.470289474,1.205080857,34,18.61764706
Bernd Siebert,UT Austin,Male,Professor,625,1993,0.523,0.363,0.566736842,0.470289474,1.205080857,28,22.32142857
Michael Starbird,UT Austin,Male,Professor,84,1974,0.081,0.869,0.566736842,0.470289474,1.205080857,47,1.787234043
Philip Treisman,UT Austin,Male,Professor,1,1991,0.001,0.414,0.566736842,0.470289474,1.205080857,30,0.033333333
Yen-Hsi Tsai,UT Austin,Male,Professor,961,2001,0.661,0.124,0.566736842,0.470289474,1.205080857,20,48.05
Alexis Vasseur,UT Austin,Male,Professor,1867,1996,0.846,0.278,0.566736842,0.470289474,1.205080857,25,74.68
Mikhail Vishik,UT Austin,Male,Professor,605,1974,0.51,0.869,0.566736842,0.470289474,1.205080857,47,12.87234043
Stephen Walker,UT Austin,Male,Professor,780,1996,0.606,0.278,0.566736842,0.470289474,1.205080857,25,31.2
Nairanjana Dasgupta,Washington State University,Female,Professor,15,1996,0.02,0.278,0.179230769,0.569846154,0.314524838,25,0.6
Judith McDonald,Washington State University,Female,Professor,471,1987,0.426,0.53,0.179230769,0.569846154,0.314524838,34,13.85294118
Bob Dillon,Washington State University,Male,Professor,1,1976,0.001,0.823,0.179230769,0.569846154,0.314524838,45,0.022222222
Marc Evans,Washington State University,Male,Professor,2,1989,0.004,0.469,0.179230769,0.569846154,0.314524838,32,0.0625
Krishna Jandhyala,Washington State University,Male,Professor,81,1985,0.079,0.593,0.179230769,0.569846154,0.314524838,36,2.25
Mike Kallaher,Washington State University,Male,Professor,73,1967,0.073,0.958,0.179230769,0.569846154,0.314524838,54,1.351851852
Alex Khapalov,Washington State University,Male,Professor,284,1978,0.282,0.782,0.179230769,0.569846154,0.314524838,43,6.604651163
Libby Knott,Washington State University,Male,Professor,0,1994,0,0.334,0.179230769,0.569846154,0.314524838,27,0
V.S. Manoranjan,Washington State University,Male,Professor,120,1982,0.115,0.684,0.179230769,0.569846154,0.314524838,39,3.076923077
Charles Moore,Washington State University,Male,Professor,94,1986,0.089,0.564,0.179230769,0.569846154,0.314524838,35,2.685714286
Alexander Panchenko,Washington State University,Male,Professor,156,1993,0.144,0.363,0.179230769,0.569846154,0.314524838,28,5.571428571
Michael Tsatsomeros,Washington State University,Male,Professor,531,1987,0.469,0.53,0.179230769,0.569846154,0.314524838,34,15.61764706
Hong-Ming Yin,Washington State University,Male,Professor,842,1988,0.628,0.5,0.179230769,0.569846154,0.314524838,33,25.51515152
Po Hu,Wayne State,Female,Professor,330,1998,0.321,0.209,0.420933333,0.617266667,0.681931094,23,14.34782609
Robert Berman,Wayne State,Male,Professor,49,1982,0.053,0.684,0.420933333,0.617266667,0.681931094,39,1.256410256
Robert Bruner,Wayne State,Male,Professor,208,1973,0.201,0.885,0.420933333,0.617266667,0.681931094,48,4.333333333
Fatih Celiker,Wayne State,Male,Professor,231,2004,0.229,0.061,0.420933333,0.617266667,0.681931094,17,13.58823529
Daniel Drucker,Wayne State,Male,Professor,31,1973,0.039,0.885,0.420933333,0.617266667,0.681931094,48,0.645833333
Daniel Frohardt,Wayne State,Male,Professor,110,1975,0.107,0.846,0.420933333,0.617266667,0.681931094,46,2.391304348
Daniel Isaksen,Wayne State,Male,Professor,482,1996,0.433,0.278,0.420933333,0.617266667,0.681931094,25,19.28
John Klein,Wayne State,Male,Professor,339,1989,0.333,0.469,0.420933333,0.617266667,0.681931094,32,10.59375
Makar-Limanov,Wayne State,Male,Professor,708,1967,0.572,0.958,0.420933333,0.617266667,0.681931094,54,13.11111111
Jose-Luis Menaldi,Wayne State,Male,Professor,713,1974,0.575,0.869,0.420933333,0.617266667,0.681931094,47,15.17021277
Boris Mordukhovich,Wayne State,Male,Professor,6186,1970,0.982,0.927,0.420933333,0.617266667,0.681931094,51,121.2941176
Wayne Raskind,Wayne State,Male,Professor,194,1984,0.182,0.622,0.420933333,0.617266667,0.681931094,37,5.243243243
Ualbai Umirbaev,Wayne State,Male,Professor,604,1984,0.509,0.622,0.420933333,0.617266667,0.681931094,37,16.32432432
Gang George Yin,Wayne State,Male,Professor,3296,1987,0.93,0.53,0.420933333,0.617266667,0.681931094,34,96.94117647
Zhi Min Zhang,Wayne State,Male,Professor,1879,1991,0.848,0.414,0.420933333,0.617266667,0.681931094,30,62.63333333
Hee Oh,Yale,Female,Professor,678,1996,0.56,0.278,0.635736842,0.498736842,1.274693964,25,27.12
Ivan Losev,Yale,Male,Professor,466,2005,0.423,0.041,0.635736842,0.498736842,1.274693964,16,29.125
Jeff Brock,Yale,Male,Professor,625,1992,0.523,0.387,0.635736842,0.498736842,1.274693964,29,21.55172414
Ronald Coifman,Yale,Male,Professor,7525,1964,0.987,0.978,0.635736842,0.498736842,1.274693964,57,132.0175439
Igor Frenkel,Yale,Male,Professor,3429,1980,0.934,0.739,0.635736842,0.498736842,1.274693964,41,83.63414634
Alexander Goncharov,Yale,Male,Professor,1436,1981,0.782,0.714,0.635736842,0.498736842,1.274693964,40,35.9
Peter Jones,Yale,Male,Professor,1843,1978,0.842,0.782,0.635736842,0.498736842,1.274693964,43,42.86046512
Yifeng Liu,Yale,Male,Professor,40,2011,0.044,0.003,0.635736842,0.498736842,1.274693964,10,4
Yair Minsky,Yale,Male,Professor,1725,1989,0.825,0.469,0.635736842,0.498736842,1.274693964,32,53.90625
Richard Kenyon,Yale,Male,Professor,1801,1990,0.837,0.436,0.635736842,0.498736842,1.274693964,31,58.09677419
Vincent Moncrief,Yale,Male,Professor,1003,1972,0.676,0.897,0.635736842,0.498736842,1.274693964,49,20.46938776
Andrew Neitzke,Yale,Male,Professor,529,2001,0.467,0.124,0.635736842,0.498736842,1.274693964,20,26.45
Nicholas Read,Yale,Male,Professor,94,1988,0.089,0.5,0.635736842,0.498736842,1.274693964,33,2.848484848
Vladimir Rokhlin,Yale,Male,Professor,4173,1974,0.956,0.869,0.635736842,0.498736842,1.274693964,47,88.78723404
Wilhelm Schlag,Yale,Male,Professor,2529,1991,0.895,0.414,0.635736842,0.498736842,1.274693964,30,84.3
Dan Spielman,Yale,Male,Professor,1562,1992,0.803,0.387,0.635736842,0.498736842,1.274693964,29,53.86206897
Van Vu,Yale,Male,Professor,3311,1996,0.931,0.278,0.635736842,0.498736842,1.274693964,25,132.44
Gregg Zuckerman,Yale,Male,Professor,556,1975,0.482,0.846,0.635736842,0.498736842,1.274693964,46,12.08695652
John  Wettlaufer,Yale,Male,Professor,17,1994,0.023,0.334,0.635736842,0.498736842,1.274693964,27,0.62962963
Paul Stephen Aspinwall,Duke,Male,Professor,569,1987,0.487,0.53,0.56225,0.521875,1.077365269,34,16.73529412
Hubert Bray,Duke,Male,Professor,538,1997,0.473,0.24,0.56225,0.521875,1.077365269,24,22.41666667
Robert Bryant,Duke,Male,Professor,2346,1979,0.882,0.76,0.56225,0.521875,1.077365269,42,55.85714286
Robert Calderbank,Duke,Male,Professor,2384,1980,0.884,0.739,0.56225,0.521875,1.077365269,41,58.14634146
Ingrid Daubechies,Duke,Female,Professor,6860,1977,0.986,0.805,0.56225,0.521875,1.077365269,44,155.9090909
Richard Durrett,Duke,Male,Professor,4087,1976,0.953,0.823,0.56225,0.521875,1.077365269,45,90.82222222
Richard Hain,Duke,Male,Professor,804,1976,0.617,0.823,0.56225,0.521875,1.077365269,45,17.86666667
John Harer,Duke,Male,Professor,1637,1978,0.816,0.782,0.56225,0.521875,1.077365269,43,38.06976744
Mark Haskins,Duke,Male,Professor,216,1998,0.211,0.209,0.56225,0.521875,1.077365269,23,9.391304348
Alexander Kiselev,Duke,Male,Professor,1990,1991,0.859,0.414,0.56225,0.521875,1.077365269,30,66.33333333
Jian-Guo Liu,Duke,Male,Professor,2364,1990,0.883,0.436,0.56225,0.521875,1.077365269,31,76.25806452
Jonathan Mattingly,Duke,Male,Professor,1393,1997,0.773,0.24,0.56225,0.521875,1.077365269,24,58.04166667
Ezra Miller,Duke,Male,Professor,1329,1998,0.761,0.209,0.56225,0.521875,1.077365269,23,57.7826087
Sayan Mukherjee,Duke,Male,Professor,249,2000,0.251,0.147,0.56225,0.521875,1.077365269,21,11.85714286
Lenhard Lee Ng,Duke,Male,Professor,586,1997,0.501,0.24,0.56225,0.521875,1.077365269,24,24.41666667
William Pardon,Duke,Male,Professor,147,1974,0.136,0.869,0.56225,0.521875,1.077365269,47,3.127659574
Arlie Petters,Duke,Male,Professor,136,1991,0.129,0.414,0.56225,0.521875,1.077365269,30,4.533333333
Michael Reed,Duke,Male,Professor,7688,1968,0.988,0.949,0.56225,0.521875,1.077365269,53,145.0566038
Leslie Saper,Duke,Male,Professor,130,1984,0.123,0.622,0.56225,0.521875,1.077365269,37,3.513513514
Chadmark Schoen,Duke,Male,Professor,342,1985,0.336,0.593,0.56225,0.521875,1.077365269,36,9.5
Mark Stern,Duke,Male,Professor,164,1984,0.151,0.622,0.56225,0.521875,1.077365269,37,4.432432432
Stephanos Venakides,Duke,Male,Professor,1494,1982,0.794,0.684,0.56225,0.521875,1.077365269,39,38.30769231
Kirsten Graham Wickelgren,Duke,Female,Professor,76,2005,0.075,0.041,0.56225,0.521875,1.077365269,16,4.75
Thomas P Witelski,Duke,Male,Professor,468,1994,0.425,0.334,0.56225,0.521875,1.077365269,27,17.33333333
Dan Anderson,University of Iowa,Male,Professor,2502,1974,0.892,0.869,0.4924375,0.597625,0.823990797,47,53.23404255
Bruce Ayati,University of Iowa,Male,Professor,120,1998,0.115,0.209,0.4924375,0.597625,0.823990797,23,5.217391304
Frauke Bleher,University of Iowa,Male,Professor,213,1995,0.206,0.304,0.4924375,0.597625,0.823990797,26,8.192307692
Victor Camillo,University of Iowa,Male,Professor,884,1969,0.643,0.939,0.4924375,0.597625,0.823990797,52,17
Raul Curto,University of Iowa,Male,Professor,2158,1978,0.869,0.782,0.4924375,0.597625,0.823990797,43,50.18604651
Charles Frohman,University of Iowa,Male,Professor,337,1984,0.33,0.622,0.4924375,0.597625,0.823990797,37,9.108108108
Laurent Jay,University of Iowa,Male,Professor,268,1993,0.265,0.363,0.4924375,0.597625,0.823990797,28,9.571428571
Palle Jorgensen,University of Iowa,Male,Professor,2847,1975,0.913,0.846,0.4924375,0.597625,0.823990797,46,61.89130435
Surjit Khurana,University of Iowa,Male,Professor,139,1968,0.131,0.949,0.4924375,0.597625,0.823990797,53,2.622641509
Tong Li,University of Iowa,Female,Professor,612,1992,0.515,0.387,0.4924375,0.597625,0.823990797,29,21.10344828
Paul Muhly,University of Iowa,Male,Professor,2066,1968,0.862,0.949,0.4924375,0.597625,0.823990797,53,38.98113208
David Stewart,University of Iowa,Male,Professor,587,1987,0.502,0.53,0.4924375,0.597625,0.823990797,34,17.26470588
Gerhard Strohmer,University of Iowa,Male,Professor,180,1980,0.168,0.739,0.4924375,0.597625,0.823990797,41,4.390243902
Maggy Tomova,University of Iowa,Female,Professor,214,2005,0.209,0.041,0.4924375,0.597625,0.823990797,16,13.375
Lihe Wang,University of Iowa,Male,Professor,1766,1989,0.833,0.469,0.4924375,0.597625,0.823990797,32,55.1875
Yangbo Ye,University of Iowa,Male,Professor,471,1986,0.426,0.564,0.4924375,0.597625,0.823990797,35,13.45714286
David Anderson,UW - Madison,Male,Professor,301,2005,0.298,0.041,0.389,0.367153846,1.059501362,16,18.8125
Sigurd Angenent,UW - Madison,Male,Professor,1876,1985,0.848,0.593,0.389,0.367153846,1.059501362,36,52.11111111
Dima Arinkin,UW - Madison,Male,Professor,232,1997,0.23,0.24,0.389,0.367153846,1.059501362,24,9.666666667
Sergey Bolotin,UW - Madison,Male,Professor,579,1978,0.496,0.782,0.389,0.367153846,1.059501362,43,13.46511628
Andrei Caldarau,UW - Madison,Male,Professor,394,2000,0.375,0.147,0.389,0.367153846,1.059501362,21,18.76190476
Gheorge Craciun,UW - Madison,Male,Professor,440,1992,0.407,0.387,0.389,0.367153846,1.059501362,29,15.17241379
Sergey Denisov,UW - Madison,Male,Professor,361,1997,0.35,0.24,0.389,0.367153846,1.059501362,24,15.04166667
Jordan Ellenberg,UW - Madison,Male,Professor,682,1993,0.563,0.363,0.389,0.367153846,1.059501362,28,24.35714286
Mikhail Feldman,UW - Madison,Male,Professor,867,1985,0.636,0.593,0.389,0.367153846,1.059501362,36,24.08333333
Xianghong Gong,UW - Madison,Male,Professor,194,1986,0.182,0.564,0.389,0.367153846,1.059501362,35,5.542857143
Steffen Lempp,UW - Madison,Male,Professor,535,1986,0.471,0.564,0.389,0.367153846,1.059501362,35,15.28571429
Gloria Mari-Beffa,UW - Madison,Female,Professor,299,1987,0.296,0.53,0.389,0.367153846,1.059501362,34,8.794117647
Maxim Laurentiu,UW - Madison,Male,Professor,256,2005,0.256,0.041,0.389,0.367153846,1.059501362,16,16
Joseph Miller,UW - Madison,Male,Professor,580,2002,0.497,0.103,0.389,0.367153846,1.059501362,19,30.52631579
Sean Paul,UW - Madison,Male,Professor,84,2000,0.081,0.147,0.389,0.367153846,1.059501362,21,4
Alexei Poltoratski,UW - Madison,Male,Professor,348,1989,0.34,0.469,0.389,0.367153846,1.059501362,32,10.875
Sebastien Roch,UW - Madison,Male,Professor,203,2002,0.195,0.103,0.389,0.367153846,1.059501362,19,10.68421053
Andreas Seeger,UW - Madison,Male,Professor,1452,1985,0.786,0.593,0.389,0.367153846,1.059501362,36,40.33333333
Timo Seppalainen,UW - Madison,Male,Professor,998,1991,0.674,0.414,0.389,0.367153846,1.059501362,30,33.26666667
Leslie Smith,UW - Madison,Female,Professor,68,1988,0.068,0.5,0.389,0.367153846,1.059501362,33,2.060606061
Samuel Stechmann,UW - Madison,Male,Professor,26,2004,0.032,0.061,0.389,0.367153846,1.059501362,17,1.529411765
Paul Terwilliger,UW - Madison,Male,Professor,2454,1982,0.888,0.684,0.389,0.367153846,1.059501362,39,62.92307692
Jean-Luc Thiffeault,UW - Madison,Male,Professor,236,1998,0.236,0.209,0.389,0.367153846,1.059501362,23,10.26086957
Benedek Valko,UW - Madison,Male,Professor,332,1997,0.325,0.24,0.389,0.367153846,1.059501362,24,13.83333333
Fabian Waleffe,UW - Madison,Male,Professor,106,1989,0.103,0.469,0.389,0.367153846,1.059501362,32,3.3125
Tonghai Yang,UW - Madison,Male,Professor,553,1989,0.481,0.469,0.389,0.367153846,1.059501362,32,17.28125
David Damanik,Rice,Male,Professor,1731,1997,0.828,0.24,0.548625,0.537125,1.021410286,24,72.125
Robert Hardt,Rice,Male,Professor,1338,1971,0.763,0.913,0.548625,0.537125,1.021410286,50,26.76
Shelley Harvey,Rice,Female,Professor,331,2002,0.324,0.103,0.548625,0.537125,1.021410286,19,17.42105263
Frank Jones,Rice,Male,Professor,336,1961,0.328,0.989,0.548625,0.537125,1.021410286,60,5.6
Alan Reid,Rice,Male,Professor,1406,1987,0.776,0.53,0.548625,0.537125,1.021410286,34,41.35294118
Stephen Semmes,Rice,Male,Professor,2482,1981,0.891,0.714,0.548625,0.537125,1.021410286,40,62.05
Varilly-Alvarado,Rice,Male,Professor,177,2001,0.163,0.124,0.548625,0.537125,1.021410286,20,8.85
Michael Wolf,Rice,Male,Professor,324,1982,0.316,0.684,0.548625,0.537125,1.021410286,39,8.307692308
Ricardo Cortez,Tulane,Male,Professor,638,1995,0.534,0.304,0.4563,0.6665,0.684621155,26,24.53846154
Lisa Fauci,Tulane,Female,Professor,330,1986,0.321,0.564,0.4563,0.6665,0.684621155,35,9.428571429
Huy Tai Ha,Tulane,Male,Professor,576,1998,0.492,0.209,0.4563,0.6665,0.684621155,23,25.04347826
Mac Hyman,Tulane,Male,Professor,1782,1976,0.835,0.823,0.4563,0.6665,0.684621155,45,39.6
Morris Kalka,Tulane,Male,Professor,147,1975,0.136,0.846,0.4563,0.6665,0.684621155,46,3.195652174
Robin Forman,Tulane,Male,Professor,578,1982,0.494,0.684,0.4563,0.6665,0.684621155,39,14.82051282
Slawomir Kwasik,Tulane,Male,Professor,246,1977,0.247,0.805,0.4563,0.6665,0.684621155,44,5.590909091
Michael Mislove,Tulane,Male,Professor,1044,1969,0.692,0.939,0.4563,0.6665,0.684621155,52,20.07692308
Victor Moll,Tulane,Male,Professor,751,1984,0.594,0.622,0.4563,0.6665,0.684621155,37,20.2972973
Frank Tipler,Tulane,Male,Professor,221,1974,0.218,0.869,0.4563,0.6665,0.684621155,47,4.70212766
David Ambrose,Drexel,Male,Professor,476,2002,0.431,0.103,0.268,0.3884,0.690010299,19,25.05263158
Robert P Boyer,Drexel,Male,Professor,103,1974,0.099,0.869,0.268,0.3884,0.690010299,47,2.191489362
R Andrew Hicks,Drexel,Male,Professor,1,1995,0.001,0.304,0.268,0.3884,0.690010299,26,0.038461538
Pawel Hitczenko,Drexel,Male,Professor,428,1984,0.4,0.622,0.268,0.3884,0.690010299,37,11.56756757
Kaliuzhny-Verbovetsky,Drexel,Male,Professor,225,1994,0.223,0.334,0.268,0.3884,0.690010299,27,8.333333333
Georgi Medvedev,Drexel,Male,Professor,187,1999,0.176,0.172,0.268,0.3884,0.690010299,22,8.5
Shari Moskow,Drexel,Female,Professor,475,1996,0.43,0.278,0.268,0.3884,0.690010299,25,19
Eric Schmutz,Drexel,Male,Professor,150,1988,0.138,0.5,0.268,0.3884,0.690010299,33,4.545454545
Hugo Woerdeman,Drexel,Male,Professor,609,1987,0.514,0.53,0.268,0.3884,0.690010299,34,17.91176471
Thomas P-Y Yu,Drexel,Male,Professor,271,1999,0.268,0.172,0.268,0.3884,0.690010299,22,12.31818182
Scott Ahlgren,UI - Urbana Champaign,Male,Professor,613,1996,0.516,0.278,0.479186047,0.446069767,1.074240133,25,24.52
Matthew Ando,UI - Urbana Champaign,Male,Professor,304,1992,0.302,0.387,0.479186047,0.446069767,1.074240133,29,10.48275862
Jozsef Balogh,UI - Urbana Champaign,Male,Professor,1337,1998,0.762,0.209,0.479186047,0.446069767,1.074240133,23,58.13043478
Yuliy Baryshnikov,UI - Urbana Champaign,Male,Professor,409,1984,0.389,0.622,0.479186047,0.446069767,1.074240133,37,11.05405405
Florin Boca,UI - Urbana Champaign,Male,Professor,540,1988,0.475,0.5,0.479186047,0.446069767,1.074240133,33,16.36363636
Steven Bradlow,UI - Urbana Champaign,Male,Professor,712,1988,0.574,0.5,0.479186047,0.446069767,1.074240133,33,21.57575758
Jared Bronski,UI - Urbana Champaign,Male,Professor,372,1994,0.358,0.334,0.479186047,0.446069767,1.074240133,27,13.77777778
Lee DeVille,UI - Urbana Champaign,Male,Professor,161,2001,0.149,0.124,0.479186047,0.446069767,1.074240133,20,8.05
Phillippe Di Francesco,UI - Urbana Champaign,Male,Professor,1558,1987,0.801,0.53,0.479186047,0.446069767,1.074240133,34,45.82352941
Lou van den Dries,UI - Urbana Champaign,Male,Professor,2468,1977,0.89,0.805,0.479186047,0.446069767,1.074240133,44,56.09090909
Nathan Dunfield,UI - Urbana Champaign,Male,Professor,484,1993,0.434,0.363,0.479186047,0.446069767,1.074240133,28,17.28571429
Sankar P Dutta,UI - Urbana Champaign,Male,Professor,228,1981,0.225,0.714,0.479186047,0.446069767,1.074240133,40,5.7
Iwan Dursma,UI - Urbana Champaign,Male,Professor,361,1993,0.35,0.363,0.479186047,0.446069767,1.074240133,28,12.89285714
M Burak Erdogan,UI - Urbana Champaign,Male,Professor,556,1997,0.482,0.24,0.479186047,0.446069767,1.074240133,24,23.16666667
Rui Loja Fernandes,UI - Urbana Champaign,Male,Professor,693,1993,0.566,0.363,0.479186047,0.446069767,1.074240133,28,24.75
Kevin Ford,UI - Urbana Champaign,Male,Professor,634,1993,0.53,0.363,0.479186047,0.446069767,1.074240133,28,22.64285714
William Haboush,UI - Urbana Champaign,Male,Professor,142,1970,0.132,0.927,0.479186047,0.446069767,1.074240133,51,2.784313725
Aimo Hinkkanen,UI - Urbana Champaign,Male,Professor,616,1980,0.519,0.739,0.479186047,0.446069767,1.074240133,41,15.02439024
Vera Mikyoung Hur,UI - Urbana Champaign,Female,Professor,286,2006,0.285,0.027,0.479186047,0.446069767,1.074240133,15,19.06666667
Sergei Ivanov,UI - Urbana Champaign,Male,Professor,495,1978,0.44,0.782,0.479186047,0.446069767,1.074240133,43,11.51162791
Marius Junge,UI - Urbana Champaign,Male,Professor,1415,1990,0.778,0.436,0.479186047,0.446069767,1.074240133,31,45.64516129
Sheldon Katz,UI - Urbana Champaign,Male,Professor,1382,1980,0.771,0.739,0.479186047,0.446069767,1.074240133,41,33.70731707
Rinat Kedem,UI - Urbana Champaign,Female,Professor,463,1993,0.42,0.363,0.479186047,0.446069767,1.074240133,28,16.53571429
Alexandr Kostochka,UI - Urbana Champaign,Male,Professor,2585,1976,0.899,0.823,0.479186047,0.446069767,1.074240133,45,57.44444444
Denka Kutzarova,UI - Urbana Champaign,Female,Professor,515,1982,0.458,0.684,0.479186047,0.446069767,1.074240133,39,13.20512821
Richard Laugesen,UI - Urbana Champaign,Male,Professor,651,1993,0.543,0.363,0.479186047,0.446069767,1.074240133,28,23.25
Chris Leininger,UI - Urbana Champaign,Male,Professor,443,2002,0.408,0.103,0.479186047,0.446069767,1.074240133,19,23.31578947
Eugene Lerman,UI - Urbana Champaign,Male,Professor,1127,1988,0.714,0.5,0.479186047,0.446069767,1.074240133,33,34.15151515
Xiaochun Li,UI - Urbana Champaign,Male,Professor,267,1996,0.264,0.278,0.479186047,0.446069767,1.074240133,25,10.68
Randy McCarthy,UI - Urbana Champaign,Male,Professor,319,1988,0.313,0.5,0.479186047,0.446069767,1.074240133,33,9.666666667
Igor Mineyev,UI - Urbana Champaign,Male,Professor,213,1998,0.206,0.209,0.479186047,0.446069767,1.074240133,23,9.260869565
Thomas Nevins,UI - Urbana Champaign,Male,Professor,138,1993,0.13,0.363,0.479186047,0.446069767,1.074240133,28,4.928571429
Igor Nikolaev,UI - Urbana Champaign,Male,Professor,244,1978,0.246,0.782,0.479186047,0.446069767,1.074240133,43,5.674418605
Charles Rezk,UI - Urbana Champaign,Male,Professor,498,1996,0.442,0.278,0.479186047,0.446069767,1.074240133,25,19.92
Bruce Reznick,UI - Urbana Champaign,Male,Professor,836,1974,0.626,0.869,0.479186047,0.446069767,1.074240133,47,17.78723404
Renming Song,UI - Urbana Champaign,Male,Professor,2338,1985,0.88,0.593,0.479186047,0.446069767,1.074240133,36,64.94444444
Richard Sowers,UI - Urbana Champaign,Male,Professor,337,1990,0.33,0.436,0.479186047,0.446069767,1.074240133,31,10.87096774
Susan Tolman,UI - Urbana Champaign,Female,Professor,624,1993,0.523,0.363,0.479186047,0.446069767,1.074240133,28,22.28571429
Jeremy Tyson,UI - Urbana Champaign,Male,Professor,1039,1998,0.688,0.209,0.479186047,0.446069767,1.074240133,23,45.17391304
Nikolaos Tzirakis,UI - Urbana Champaign,Male,Professor,392,2004,0.373,0.061,0.479186047,0.446069767,1.074240133,17,23.05882353
Alexander Yong,UI - Urbana Champaign,Male,Professor,415,2002,0.395,0.103,0.479186047,0.446069767,1.074240133,19,21.84210526
Alexandru Zaharescu,UI - Urbana Champaign,Male,Professor,1374,1983,0.769,0.652,0.479186047,0.446069767,1.074240133,38,36.15789474
Vadim Zharnitsky,UI - Urbana Champaign,Male,Professor,248,1995,0.25,0.304,0.479186047,0.446069767,1.074240133,26,9.538461538
